,NAME,POSITIONS,OVA,POT,TEAM,CONTRACT_LENGTH,ATTACKING,SKILL,MOVEMENT,POWER,MENTALITY,DEFENDING,TOTAL,PAC,SHO,PAS,DRI,DEF,PHY,FULL_NAME,AGE,VALUE_EUR,SALARY_EUR
111,C. Pulisic,LW RW LM ,82,88,Chelsea,2019 ~ 2024,345,360,428,339,298,117,1950,87,71,73,86,37,58,Christian Pulisic,23,48000000.0,120000.0
112,I. Konaté,CB ,81,88,Liverpool,2021 ~ 2026,249,264,342,303,291,244,1742,77,34,57,67,82,80,Ibrahima Konaté,23,48000000.0,90000.0
113,Marcos Llorente,CM RM RB ,84,85,Atlético Madrid,2019 ~ 2027,372,385,408,397,393,232,2238,88,79,80,82,78,81,Marcos Llorente Moreno,27,48000000.0,81000.0
114,O. Dembélé,RW LW ,83,86,FC Barcelona,2017 ~ 2024,357,396,436,336,323,105,2002,93,77,79,87,36,56,Ousmane Dembélé,25,48000000.0,180000.0
115,Carlos Soler,CM RM CDM ,83,86,Paris Saint Germain,2022 ~ 2027,362,410,392,366,388,214,2183,80,77,83,80,71,72,Carlos Soler Barragán,25,47500000.0,100000.0
116,F. Kessié,CDM CM CAM ,84,86,FC Barcelona,2022 ~ 2026,350,352,384,413,406,247,2206,78,76,74,79,82,87,Franck Yannick Kessié,25,47500000.0,165000.0
117,P. Højbjerg,CDM CM ,84,86,Tottenham Hotspur,2020 ~ 2025,349,387,327,397,371,242,2123,55,73,78,78,81,82,Pierre-Emile Højbjerg,26,47000000.0,120000.0
118,D. Upamecano,CB ,83,87,FC Bayern München,2021 ~ 2026,273,272,372,340,311,251,1864,82,43,62,70,82,82,Dayot Upamecano,23,47000000.0,64000.0
119,Merino,CM LM RM ,83,86,Real Sociedad,2018 ~ 2025,384,399,377,406,396,240,2259,73,78,81,82,82,81,Mikel Merino Zazón,26,47000000.0,49000.0
120,K. Koulibaly,CB ,86,86,Chelsea,2022 ~ 2026,296,303,320,350,333,263,1908,79,48,63,68,87,85,Kalidou Koulibaly,31,46500000.0,165000.0
121,M. Acuña,LB LM ,85,85,Sevilla,2020 ~ 2024,365,413,411,400,403,250,2304,76,74,83,86,81,84,Marcos Acuña,30,46500000.0,46000.0
122,J. Grealish,LW LM ,84,84,Manchester City,2021 ~ 2027,350,408,402,337,329,140,2017,76,76,83,87,46,69,Jack Grealish,26,46000000.0,185000.0
123,Lucas Paquetá,CAM CM ,82,87,West Ham United,2022 ~ 2027,374,403,377,387,384,202,2184,72,77,79,85,69,77,Lucas Tolentino Coelho de Lima,24,46000000.0,77000.0
124,S. Gnabry,RM LM ,84,84,FC Bayern München,2017 ~ 2026,369,376,417,368,335,132,2047,81,84,78,84,43,69,Serge Gnabry,26,46000000.0,90000.0
125,L. Sané,LM RM CF ,84,84,FC Bayern München,2020 ~ 2025,400,408,429,366,330,103,2088,90,81,80,85,38,66,Leroy Sané,26,46000000.0,90000.0
126,Dani Olmo,CAM CF ,82,87,RB Leipzig,2020 ~ 2024,355,398,390,342,339,144,2034,67,76,81,86,50,59,Daniel Olmo Carvajal,24,46000000.0,59000.0
127,Pedro Gonçalves,LW RW CM ,82,87,Sporting CP,2020 ~ 2026,361,396,407,341,376,166,2103,76,81,80,84,58,65,Pedro António Pereira Gonçalves,24,46000000.0,20000.0
128,Pedro Porro,RWB RM ,82,88,Sporting CP,2022 ~ 2025,353,383,391,382,373,227,2157,82,73,76,81,75,78,Pedro Antonio Porro Sauceda,22,46000000.0,16000.0
129,Bremer,CB ,83,87,Juventus,2022 ~ 2027,287,262,371,344,312,253,1881,80,50,56,65,85,81,Gleison Bremer Silva Nascimento,25,45500000.0,115000.0
130,R. Varane,CB ,85,85,Manchester United,2021 ~ 2025,293,311,347,337,319,256,1913,81,49,64,66,86,79,Raphaël Varane,29,45000000.0,170000.0
131,D. Berardi,RM RW ,84,84,Sassuolo,2012 ~ 2027,384,405,427,366,351,102,2062,82,81,81,86,36,71,Domenico Berardi,27,45000000.0,57000.0
132,R. Mahrez,RW RM ,85,85,Manchester City,2018 ~ 2025,375,418,423,352,328,98,2048,80,81,81,89,38,60,Riyad Mahrez,31,44500000.0,200000.0
133,Fabián Ruiz,CM CDM ,83,85,Paris Saint Germain,2022 ~ 2027,370,389,342,365,376,223,2125,61,79,80,83,74,72,Fabián Ruiz Peña,26,44500000.0,105000.0
134,İ. Gündoğan,CM CDM ,85,85,Manchester City,2016 ~ 2023,372,426,369,368,394,219,2196,64,80,85,85,72,72,İlkay Gündoğan,31,44000000.0,185000.0
135,Nuno Mendes,LB LWB ,80,88,Paris Saint Germain,2021 ~ 2026,322,351,420,362,335,225,2065,89,57,73,78,74,73,Nuno Alexandre Tavares Mendes,20,44000000.0,54000.0
136,T. Abraham,ST ,82,86,Roma,2021 ~ 2026,380,325,363,388,328,89,1926,83,80,66,78,36,80,Tammy Abraham,24,44000000.0,77000.0
137,L. Hernández,CB LB ,84,85,FC Bayern München,2019 ~ 2024,336,302,376,349,340,253,2005,77,54,70,71,84,80,Lucas Hernández,26,43500000.0,82000.0
138,D. Kamada,CAM CF CM ,83,84,Eintracht Frankfurt,2017 ~ 2023,357,400,408,337,342,134,2022,79,74,82,84,46,61,Daichi Kamada,25,43500000.0,43000.0
139,Raphinha,RW RM ,83,84,FC Barcelona,2022 ~ 2027,349,405,431,387,368,139,2129,91,79,77,85,50,73,Raphael Dias Belloli,25,43500000.0,180000.0
140,E. Smith Rowe,LM CAM ,80,87,Arsenal,2017 ~ 2026,326,362,383,305,305,98,1830,78,71,76,81,32,61,Emile Smith Rowe,21,43000000.0,65000.0
141,Marco Asensio,RW LW ,83,84,Real Madrid,2015 ~ 2023,376,412,398,367,312,121,2036,82,80,81,83,43,62,Marco Asensio Willemsen,26,43000000.0,200000.0
142,Y. Carrasco,LM LWB ,84,84,Atlético Madrid,2020 ~ 2024,370,414,410,373,351,171,2138,88,81,79,86,54,66,Yannick Carrasco,28,42500000.0,85000.0
143,T. Lemar,CM LM RM ,83,84,Atlético Madrid,2018 ~ 2023,374,420,424,362,374,200,2214,83,78,83,87,67,64,Thomas Lemar,26,42500000.0,74000.0
144,Á. Correa,ST RM CF ,83,84,Atlético Madrid,2014 ~ 2026,392,390,433,374,362,139,2146,85,84,77,87,50,73,Ángel Correa,27,42500000.0,80000.0
145,E. Fernández,CM CDM ,80,87,Benfica,2022 ~ 2027,356,383,381,395,390,225,2169,74,73,79,79,74,81,Enzo Fernández,21,42500000.0,13000.0
146,M. Kovačić,CM ,84,84,Chelsea,2019 ~ 2024,342,411,395,372,371,217,2142,70,69,83,88,71,71,Mateo Kovačić,28,42000000.0,155000.0
147,De Gea,GK ,87,87,Manchester United,2011 ~ 2023,112,142,296,233,154,59,1414,88,80,75,89,51,86,David De Gea Quintana,31,42000000.0,150000.0
148,P. Kimpembe,CB ,83,86,Paris Saint Germain,2015 ~ 2024,285,298,366,353,337,251,1943,80,43,68,69,83,86,Presnel Kimpembe,26,42000000.0,95000.0
149,H. Çalhanoğlu,CM ,84,84,Inter,2021 ~ 2024,369,428,380,350,395,200,2172,67,80,85,86,68,64,Hakan Çalhanoğlu,28,42000000.0,100000.0
150,R. De Paul,CM RM ,84,84,Atlético Madrid,2021 ~ 2026,368,412,393,396,391,228,2244,78,77,83,82,75,82,Rodrigo Javier De Paul,28,42000000.0,85000.0
151,Parejo,CM CDM ,86,86,Villarreal,2020 ~ 2024,394,435,315,364,397,209,2162,50,83,90,80,71,68,Daniel Parejo Muñoz,33,42000000.0,64000.0
152,L. Martínez,CB ,82,87,Manchester United,2022 ~ 2027,340,359,385,395,363,252,2149,74,60,77,77,83,84,Lisandro Martínez,24,41500000.0,105000.0
153,D. Szoboszlai,CAM LM ,81,87,RB Leipzig,2021 ~ 2026,379,422,379,384,310,90,2013,80,81,82,81,34,63,Dominik Szoboszlai,21,41500000.0,46000.0
154,Muniain,LM CAM ,84,84,Athletic Club,2009 ~ 2024,363,411,428,349,341,151,2088,81,77,82,87,51,61,Iker Muniain Goñi,29,41500000.0,49000.0
155,W. Ndidi,CDM CM CB ,83,85,Leicester City,2017 ~ 2024,317,339,348,404,351,256,2069,67,61,67,71,84,84,Wilfred Ndidi,25,41000000.0,95000.0
156,Jorginho,CM CDM ,84,84,Chelsea,2018 ~ 2023,357,405,340,343,402,218,2121,54,67,85,81,73,73,Luiz Frello Filho Jorge,30,40500000.0,150000.0
