,klub,pilkarz,pozycja,data_urodzenia,wzrost,dominujaca_noga,kontrakt_od,kontrakt_do,wartosc_eur,liga,wiek
24,Bayern Monachium,Mathys Tel,Środkowy napastnik,27 kwi 2005 (17),"1,83m",prawonożny,26 lip 2022,30 cze 2025,20000000.0,bundesliga,17
25,Bayern Monachium,Eric Maxim Choupo-Moting,Środkowy napastnik,23 mar 1989 (33),"1,91m",prawonożny,5 paź 2020,30 cze 2023,6000000.0,bundesliga,33
26,Borussia Dortmund,Gregor Kobel,Bramkarz,6 gru 1997 (25),"1,94m",prawonożny,1 lip 2021,30 cze 2026,25000000.0,bundesliga,25
27,Borussia Dortmund,Marcel Lotka,Bramkarz,25 maj 2001 (21),"1,90m",prawonożny,1 lip 2022,30 cze 2024,1300000.0,bundesliga,21
28,Borussia Dortmund,Alexander Meyer,Bramkarz,13 kwi 1991 (31),"1,95m",prawonożny,1 lip 2022,30 cze 2024,1000000.0,bundesliga,31
29,Borussia Dortmund,Luca Unbehaun,Bramkarz,27 lut 2001 (21),"1,85m",prawonożny,1 lip 2019,30 cze 2023,1000000.0,bundesliga,21
30,Borussia Dortmund,Niklas Süle,Środkowy obrońca,3 wrz 1995 (27),"1,95m",prawonożny,1 lip 2022,30 cze 2026,35000000.0,bundesliga,27
31,Borussia Dortmund,Nico Schlotterbeck,Środkowy obrońca,1 gru 1999 (23),"1,91m",lewonożny,1 lip 2022,30 cze 2027,33000000.0,bundesliga,23
32,Borussia Dortmund,Mats Hummels,Środkowy obrońca,16 gru 1988 (34),"1,91m",prawonożny,1 lip 2019,30 cze 2023,6500000.0,bundesliga,34
33,Borussia Dortmund,Soumaïla Coulibaly,Środkowy obrońca,14 paź 2003 (19),"1,90m",lewonożny,1 lip 2021,30 cze 2024,1000000.0,bundesliga,19
34,Borussia Dortmund,Antonios Papadopoulos,Środkowy obrońca,10 wrz 1999 (23),"1,86m",prawonożny,-,30 cze 2024,600000.0,bundesliga,23
35,Borussia Dortmund,Raphaël Guerreiro,Lewy obrońca,22 gru 1993 (29),"1,70m",lewonożny,1 lip 2016,30 cze 2023,20000000.0,bundesliga,29
36,Borussia Dortmund,Tom Rothe,Lewy obrońca,29 paź 2004 (18),"1,93m",lewonożny,1 lip 2022,30 cze 2024,3500000.0,bundesliga,18
37,Borussia Dortmund,Nico Schulz,Lewy obrońca,1 kwi 1993 (29),"1,80m",lewonożny,1 lip 2019,30 cze 2024,2000000.0,bundesliga,29
38,Borussia Dortmund,Julian Ryerson,Prawy obrońca,17 lis 1997 (25),"1,83m",prawonożny,17 sty 2023,30 cze 2026,7500000.0,bundesliga,25
39,Borussia Dortmund,Marius Wolf,Prawy obrońca,27 maj 1995 (27),"1,87m",prawonożny,2 lip 2018,30 cze 2024,6500000.0,bundesliga,27
40,Borussia Dortmund,Thomas Meunier ,Prawy obrońca,12 wrz 1991 (31),"1,91m",prawonożny,1 lip 2020,30 cze 2024,6500000.0,bundesliga,31
41,Borussia Dortmund,Mateu Morey Bauzà,Prawy obrońca,2 mar 2000 (22),"1,73m",prawonożny,1 lip 2019,30 cze 2024,1500000.0,bundesliga,22
42,Borussia Dortmund,Felix Passlack,Prawy obrońca,29 maj 1998 (24),"1,70m",prawonożny,4 sty 2016,30 cze 2023,1500000.0,bundesliga,24
43,Borussia Dortmund,Salih Özcan,Defensywny pomocnik,11 sty 1998 (25),"1,83m",prawonożny,1 lip 2022,30 cze 2026,17000000.0,bundesliga,25
44,Borussia Dortmund,Emre Can,Defensywny pomocnik,12 sty 1994 (29),"1,86m",prawonożny,1 lip 2020,30 cze 2024,14000000.0,bundesliga,29
45,Borussia Dortmund,Abdoulaye Kamara ,Defensywny pomocnik,6 lis 2004 (18),"1,83m",prawonożny,-,30 cze 2024,1000000.0,bundesliga,18
46,Borussia Dortmund,Jude Bellingham,Środkowy pomocnik,29 cze 2003 (19),"1,86m",prawonożny,23 lip 2020,30 cze 2025,110000000.0,bundesliga,19
47,Borussia Dortmund,Mahmoud Dahoud,Środkowy pomocnik,1 sty 1996 (27),"1,78m",prawonożny,1 lip 2017,30 cze 2023,18000000.0,bundesliga,27
48,Borussia Dortmund,Giovanni Reyna,Ofensywny pomocnik,13 lis 2002 (20),"1,85m",prawonożny,12 sty 2020,30 cze 2025,35000000.0,bundesliga,20
49,Borussia Dortmund,Julian Brandt,Ofensywny pomocnik,2 maj 1996 (26),"1,85m",prawonożny,1 lip 2019,30 cze 2024,28000000.0,bundesliga,26
50,Borussia Dortmund,Marco Reus,Ofensywny pomocnik,31 maj 1989 (33),"1,80m",prawonożny,1 lip 2012,30 cze 2023,9000000.0,bundesliga,33
51,Borussia Dortmund,Göktan Gürpüz,Ofensywny pomocnik,22 sty 2003 (19),"1,75m",prawonożny,-,30 cze 2025,300000.0,bundesliga,19
52,Borussia Dortmund,Donyell Malen,Lewy napastnik,19 sty 1999 (23),"1,78m",prawonożny,27 lip 2021,30 cze 2026,20000000.0,bundesliga,23
53,Borussia Dortmund,Thorgan Hazard,Lewy napastnik,29 mar 1993 (29),"1,75m",prawonożny,1 lip 2019,30 cze 2024,9000000.0,bundesliga,29
54,Borussia Dortmund,Karim Adeyemi ,Prawy napastnik,18 sty 2002 (21),"1,80m",lewonożny,1 lip 2022,30 cze 2027,35000000.0,bundesliga,21
55,Borussia Dortmund,Jamie Bynoe-Gittens,Prawy napastnik,8 sie 2004 (18),"1,77m",prawonożny,1 lip 2022,30 cze 2025,8000000.0,bundesliga,18
56,Borussia Dortmund,Sébastien Haller,Środkowy napastnik,22 cze 1994 (28),"1,91m",prawonożny,6 lip 2022,30 cze 2026,35000000.0,bundesliga,28
57,Borussia Dortmund,Youssoufa Moukoko,Środkowy napastnik,20 lis 2004 (18),"1,79m",lewonożny,29 lip 2020,30 cze 2023,30000000.0,bundesliga,18
58,Borussia Dortmund,Anthony Modeste,Środkowy napastnik,14 kwi 1988 (34),"1,88m",prawonożny,8 sie 2022,30 cze 2023,4000000.0,bundesliga,34
59,RasenBallsport Leipzig,Péter Gulácsi ,Bramkarz,6 maj 1990 (32),"1,90m",prawonożny,1 lip 2015,30 cze 2025,6000000.0,bundesliga,32
60,RasenBallsport Leipzig,Janis Blaswich,Bramkarz,2 maj 1991 (31),"1,93m",prawonożny,1 lip 2022,30 cze 2025,1000000.0,bundesliga,31
61,RasenBallsport Leipzig,Örjan Nyland,Bramkarz,10 wrz 1990 (32),"1,92m",prawonożny,9 paź 2022,30 cze 2023,600000.0,bundesliga,32
62,RasenBallsport Leipzig,Jonas Nickisch,Bramkarz,21 maj 2004 (18),"1,90m",obunożny,-,30 cze 2023,200000.0,bundesliga,18
63,RasenBallsport Leipzig,Timo Schlieck,Bramkarz,2 mar 2006 (16),"1,95m",prawonożny,-,30 cze 2023,200000.0,bundesliga,16
64,RasenBallsport Leipzig,Oskar Preil,Bramkarz,14 wrz 2003 (19),"1,87m",prawonożny,1 lip 2022,30 cze 2023,-,bundesliga,19
65,RasenBallsport Leipzig,Josko Gvardiol,Środkowy obrońca,23 sty 2002 (20),"1,85m",lewonożny,1 lip 2021,30 cze 2027,75000000.0,bundesliga,20
66,RasenBallsport Leipzig,Mohamed Simakan,Środkowy obrońca,3 maj 2000 (22),"1,87m",prawonożny,1 lip 2021,30 cze 2027,28000000.0,bundesliga,22
67,RasenBallsport Leipzig,Abdou Diallo,Środkowy obrońca,4 maj 1996 (26),"1,87m",lewonożny,1 wrz 2022,30 cze 2023,15000000.0,bundesliga,26
68,RasenBallsport Leipzig,Willi Orbán,Środkowy obrońca,3 lis 1992 (30),"1,86m",prawonożny,1 lip 2015,30 cze 2025,10000000.0,bundesliga,30
69,RasenBallsport Leipzig,David Raum,Lewy obrońca,22 kwi 1998 (24),"1,80m",lewonożny,31 lip 2022,30 cze 2027,26000000.0,bundesliga,24
70,RasenBallsport Leipzig,Marcel Halstenberg,Lewy obrońca,27 wrz 1991 (31),"1,88m",lewonożny,31 sie 2015,30 cze 2024,4000000.0,bundesliga,31
71,RasenBallsport Leipzig,Sanoussy Ba,Lewy obrońca,5 sty 2004 (19),"1,84m",obunożny,1 lip 2022,30 cze 2025,500000.0,bundesliga,19
72,RasenBallsport Leipzig,Benjamin Henrichs,Prawy obrońca,23 lut 1997 (25),"1,85m",prawonożny,1 lip 2021,30 cze 2025,15000000.0,bundesliga,25
73,RasenBallsport Leipzig,Lukas Klostermann,Prawy obrońca,3 cze 1996 (26),"1,89m",prawonożny,22 sie 2014,30 cze 2024,14000000.0,bundesliga,26
74,RasenBallsport Leipzig,Konrad Laimer,Środkowy pomocnik,27 maj 1997 (25),"1,80m",prawonożny,1 lip 2017,30 cze 2023,28000000.0,bundesliga,25
75,RasenBallsport Leipzig,Xaver Schlager,Środkowy pomocnik,28 wrz 1997 (25),"1,74m",lewonożny,1 lip 2022,30 cze 2026,22000000.0,bundesliga,25
76,RasenBallsport Leipzig,Amadou Haidara,Środkowy pomocnik,31 sty 1998 (24),"1,75m",prawonożny,1 sty 2019,30 cze 2025,17000000.0,bundesliga,24
77,RasenBallsport Leipzig,Kevin Kampl,Środkowy pomocnik,9 paź 1990 (32),"1,78m",prawonożny,31 sie 2017,30 cze 2024,5000000.0,bundesliga,32
78,RasenBallsport Leipzig,Dani Olmo,Ofensywny pomocnik,7 maj 1998 (24),"1,79m",prawonożny,25 sty 2020,30 cze 2024,40000000.0,bundesliga,24
79,RasenBallsport Leipzig,Dominik Szoboszlai,Ofensywny pomocnik,25 paź 2000 (22),"1,87m",prawonożny,1 sty 2021,30 cze 2026,35000000.0,bundesliga,22
80,RasenBallsport Leipzig,Caden Clark,Ofensywny pomocnik,27 maj 2003 (19),"1,80m",prawonożny,1 lip 2021,30 cze 2025,2800000.0,bundesliga,19
81,RasenBallsport Leipzig,Emil Forsberg,Lewy napastnik,23 paź 1991 (31),"1,77m",prawonożny,7 sty 2015,30 cze 2025,9000000.0,bundesliga,31
82,RasenBallsport Leipzig,Christopher Nkunku ,Cofnięty napastnik,14 lis 1997 (25),"1,78m",prawonożny,18 lip 2019,30 cze 2026,80000000.0,bundesliga,25
83,RasenBallsport Leipzig,Timo Werner,Środkowy napastnik,6 mar 1996 (26),"1,80m",prawonożny,9 sie 2022,30 cze 2026,25000000.0,bundesliga,26
84,RasenBallsport Leipzig,André Silva,Środkowy napastnik,6 lis 1995 (27),"1,85m",prawonożny,2 lip 2021,30 cze 2026,24000000.0,bundesliga,27
85,RasenBallsport Leipzig,Yussuf Poulsen,Środkowy napastnik,15 cze 1994 (28),"1,92m",prawonożny,4 lip 2013,30 cze 2024,10000000.0,bundesliga,28
86,Bayer 04 Leverkusen,Lukas Hradecky,Bramkarz,24 lis 1989 (33),"1,92m",prawonożny,1 lip 2018,30 cze 2026,2500000.0,bundesliga,33
87,Bayer 04 Leverkusen,Andrey Lunev,Bramkarz,13 lis 1991 (31),"1,90m",prawonożny,10 lip 2021,30 cze 2023,1500000.0,bundesliga,31
88,Bayer 04 Leverkusen,Niklas Lomb,Bramkarz,28 lip 1993 (29),"1,86m",prawonożny,1 lip 2012,30 cze 2024,250000.0,bundesliga,29
89,Bayer 04 Leverkusen,Edmond Tapsoba,Środkowy obrońca,2 lut 1999 (23),"1,94m",prawonożny,31 sty 2020,30 cze 2026,30000000.0,bundesliga,23
90,Bayer 04 Leverkusen,Piero Hincapié,Środkowy obrońca,9 sty 2002 (21),"1,83m",lewonożny,16 sie 2021,30 cze 2026,25000000.0,bundesliga,21
91,Bayer 04 Leverkusen,Jonathan Tah,Środkowy obrońca,11 lut 1996 (26),"1,95m",prawonożny,16 lip 2015,30 cze 2025,20000000.0,bundesliga,26
92,Bayer 04 Leverkusen,Odilon Kossounou ,Środkowy obrońca,4 sty 2001 (22),"1,91m",prawonożny,22 lip 2021,30 cze 2026,20000000.0,bundesliga,22
93,Bayer 04 Leverkusen,Mitchel Bakker,Lewy obrońca,20 cze 2000 (22),"1,85m",lewonożny,12 lip 2021,30 cze 2025,9000000.0,bundesliga,22
94,Bayer 04 Leverkusen,Daley Sinkgraven,Lewy obrońca,4 lip 1995 (27),"1,79m",lewonożny,1 lip 2019,30 cze 2023,3000000.0,bundesliga,27
95,Bayer 04 Leverkusen,Jeremie Frimpong,Prawy obrońca,10 gru 2000 (22),"1,71m",prawonożny,27 sty 2021,30 cze 2025,25000000.0,bundesliga,22
96,Bayer 04 Leverkusen,Timothy Fosu-Mensah,Prawy obrońca,2 sty 1998 (25),"1,85m",prawonożny,13 sty 2021,30 cze 2024,3000000.0,bundesliga,25
97,Bayer 04 Leverkusen,Noah Mbamba,Defensywny pomocnik,5 sty 2005 (18),"1,87m",prawonożny,14 sty 2023,30 cze 2028,3000000.0,bundesliga,18
98,Bayer 04 Leverkusen,Ayman Azhil,Defensywny pomocnik,10 kwi 2001 (21),"1,75m", ,1 lip 2020,30 cze 2023,400000.0,bundesliga,21
99,Bayer 04 Leverkusen,Joshua Eze,Defensywny pomocnik,20 mar 2003 (19),"1,83m",prawonożny,1 lip 2022,30 cze 2024,200000.0,bundesliga,19
100,Bayer 04 Leverkusen,Exequiel Palacios,Środkowy pomocnik,5 paź 1998 (24),"1,77m",prawonożny,1 sty 2020,30 cze 2025,15000000.0,bundesliga,24
101,Bayer 04 Leverkusen,Kerem Demirbay,Środkowy pomocnik,3 lip 1993 (29),"1,83m",lewonożny,1 lip 2019,30 cze 2024,12000000.0,bundesliga,29
102,Bayer 04 Leverkusen,Robert Andrich,Środkowy pomocnik,22 wrz 1994 (28),"1,87m",prawonożny,16 sie 2021,30 cze 2026,11000000.0,bundesliga,28
103,Bayer 04 Leverkusen,Nadiem Amiri,Środkowy pomocnik,27 paź 1996 (26),"1,80m",prawonożny,30 lip 2019,30 cze 2024,6000000.0,bundesliga,26
104,Bayer 04 Leverkusen,Charles Aránguiz ,Środkowy pomocnik,17 kwi 1989 (33),"1,71m",prawonożny,13 sie 2015,30 cze 2023,3500000.0,bundesliga,33
105,Bayer 04 Leverkusen,Zidan Sertdemir,Środkowy pomocnik,4 lut 2005 (17),"1,82m",lewonożny,1 lip 2021,30 cze 2024,2000000.0,bundesliga,17
106,Bayer 04 Leverkusen,Florian Wirtz,Ofensywny pomocnik,3 maj 2003 (19),"1,76m",prawonożny,1 lip 2020,30 cze 2027,70000000.0,bundesliga,19
107,Bayer 04 Leverkusen,Moussa Diaby,Lewy napastnik,7 lip 1999 (23),"1,70m",lewonożny,1 lip 2019,30 cze 2025,50000000.0,bundesliga,23
108,Bayer 04 Leverkusen,Callum Hudson-Odoi,Lewy napastnik,7 lis 2000 (22),"1,77m",prawonożny,30 sie 2022,30 cze 2023,25000000.0,bundesliga,22
109,Bayer 04 Leverkusen,Adam Hlozek,Lewy napastnik,25 lip 2002 (20),"1,88m",prawonożny,1 lip 2022,30 cze 2027,15000000.0,bundesliga,20
110,Bayer 04 Leverkusen,Amine Adli,Prawy napastnik,10 maj 2000 (22),"1,74m",lewonożny,26 sie 2021,30 cze 2026,12000000.0,bundesliga,22
111,Bayer 04 Leverkusen,Karim Bellarabi,Prawy napastnik,8 kwi 1990 (32),"1,84m",prawonożny,1 lip 2011,30 cze 2023,2500000.0,bundesliga,32
112,Bayer 04 Leverkusen,Patrik Schick ,Środkowy napastnik,24 sty 1996 (26),"1,91m",lewonożny,8 wrz 2020,30 cze 2027,38000000.0,bundesliga,26
113,Bayer 04 Leverkusen,Sardar Azmoun,Środkowy napastnik,1 sty 1995 (28),"1,86m",obunożny,30 sty 2022,30 cze 2027,12000000.0,bundesliga,28
114,Eintracht Frankfurt,Kevin Trapp,Bramkarz,8 lip 1990 (32),"1,89m",prawonożny,7 sie 2019,30 cze 2024,8500000.0,bundesliga,32
115,Eintracht Frankfurt,Diant Ramaj,Bramkarz,19 wrz 2001 (21),"1,89m",obunożny,1 lip 2021,30 cze 2027,750000.0,bundesliga,21
116,Eintracht Frankfurt,Jens Grahl,Bramkarz,22 wrz 1988 (34),"1,92m",prawonożny,19 lip 2021,30 cze 2024,200000.0,bundesliga,34
117,Eintracht Frankfurt,Simon Simoni,Bramkarz,14 lip 2004 (18),"1,92m",prawonożny,1 sty 2023,30 cze 2027,200000.0,bundesliga,18
118,Eintracht Frankfurt,Evan Ndicka,Środkowy obrońca,20 sie 1999 (23),"1,92m",lewonożny,5 lip 2018,30 cze 2023,32000000.0,bundesliga,23
119,Eintracht Frankfurt,Tuta ,Środkowy obrońca,4 lip 1999 (23),"1,85m",prawonożny,31 sty 2019,30 cze 2026,15000000.0,bundesliga,23
120,Eintracht Frankfurt,Almamy Touré ,Środkowy obrońca,28 kwi 1996 (26),"1,83m",prawonożny,31 sty 2019,30 cze 2023,3500000.0,bundesliga,26
121,Eintracht Frankfurt,Hrvoje Smolcic,Środkowy obrońca,17 sie 2000 (22),"1,85m",lewonożny,1 lip 2022,30 cze 2027,3000000.0,bundesliga,22
122,Eintracht Frankfurt,Makoto Hasebe,Środkowy obrońca,18 sty 1984 (39),"1,80m",prawonożny,1 lip 2014,30 cze 2023,800000.0,bundesliga,39
123,Eintracht Frankfurt,Luca Pellegrini,Lewy obrońca,7 mar 1999 (23),"1,78m",lewonożny,12 sie 2022,30 cze 2023,9000000.0,bundesliga,23
124,Eintracht Frankfurt,Christopher Lenz,Lewy obrońca,22 wrz 1994 (28),"1,80m",lewonożny,1 lip 2021,30 cze 2024,5000000.0,bundesliga,28
125,Eintracht Frankfurt,Jan Schröder,Lewy obrońca,15 kwi 2003 (19),"1,82m",lewonożny,20 sie 2021,30 cze 2023,200000.0,bundesliga,19
126,Eintracht Frankfurt,Aurélio Buta ,Prawy obrońca,10 lut 1997 (25),"1,72m",prawonożny,1 lip 2022,30 cze 2026,3000000.0,bundesliga,25
127,Eintracht Frankfurt,Timothy Chandler,Prawy obrońca,29 mar 1990 (32),"1,86m",prawonożny,1 lip 2014,30 cze 2025,1200000.0,bundesliga,32
128,Eintracht Frankfurt,Kristijan Jakic,Defensywny pomocnik,14 maj 1997 (25),"1,81m",prawonożny,1 lip 2022,30 cze 2026,9000000.0,bundesliga,25
129,Eintracht Frankfurt,Djibril Sow,Środkowy pomocnik,6 lut 1997 (25),"1,84m",prawonożny,1 lip 2019,30 cze 2024,22000000.0,bundesliga,25
130,Eintracht Frankfurt,Sebastian Rode,Środkowy pomocnik,11 paź 1990 (32),"1,79m",prawonożny,27 lip 2019,30 cze 2024,2500000.0,bundesliga,32
131,Eintracht Frankfurt,Marcel Wenig ,Środkowy pomocnik,4 maj 2004 (18),"1,88m",prawonożny,1 lip 2022,30 cze 2025,800000.0,bundesliga,18
132,Eintracht Frankfurt,Mehdi Loune,Środkowy pomocnik,14 maj 2004 (18),"1,69m", ,1 lip 2022,30 cze 2025,300000.0,bundesliga,18
133,Eintracht Frankfurt,Junior Dina Ebimbe,Prawy pomocnik,21 lis 2000 (22),"1,84m",prawonożny,21 sie 2022,30 cze 2023,7500000.0,bundesliga,22
134,Eintracht Frankfurt,Daichi Kamada,Ofensywny pomocnik,5 sie 1996 (26),"1,84m",prawonożny,1 lip 2017,30 cze 2023,30000000.0,bundesliga,26
135,Eintracht Frankfurt,Jesper Lindström,Ofensywny pomocnik,29 lut 2000 (22),"1,82m",prawonożny,11 lip 2021,30 cze 2026,28000000.0,bundesliga,22
136,Eintracht Frankfurt,Mario Götze,Ofensywny pomocnik,3 cze 1992 (30),"1,76m",prawonożny,1 lip 2022,30 cze 2025,13000000.0,bundesliga,30
137,Eintracht Frankfurt,Paxten Aaronson,Ofensywny pomocnik,26 sie 2003 (19),"1,75m",prawonożny,1 sty 2023,30 cze 2027,4500000.0,bundesliga,19
138,Eintracht Frankfurt,Faride Alidou,Lewy napastnik,18 lip 2001 (21),"1,86m",prawonożny,1 lip 2022,30 cze 2026,2500000.0,bundesliga,21
139,Eintracht Frankfurt,Ansgar Knauff,Prawy napastnik,10 sty 2002 (21),"1,80m",prawonożny,20 sty 2022,30 cze 2023,10000000.0,bundesliga,21
140,Eintracht Frankfurt,Randal Kolo Muani,Środkowy napastnik,5 gru 1998 (24),"1,87m",prawonożny,1 lip 2022,30 cze 2027,37000000.0,bundesliga,24
141,Eintracht Frankfurt,Rafael Borré,Środkowy napastnik,15 wrz 1995 (27),"1,74m",prawonożny,5 lip 2021,30 cze 2025,16000000.0,bundesliga,27
142,Eintracht Frankfurt,Lucas Alario,Środkowy napastnik,8 paź 1992 (30),"1,84m",prawonożny,1 lip 2022,30 cze 2025,5500000.0,bundesliga,30
143,Eintracht Frankfurt,Nacho Ferri,Środkowy napastnik,5 paź 2004 (18),"1,92m",prawonożny,5 paź 2022,30 cze 2025,-,bundesliga,18
144,Borussia Mönchengladbach,Yann Sommer,Bramkarz,17 gru 1988 (34),"1,83m",prawonożny,1 lip 2014,30 cze 2023,5000000.0,bundesliga,34
145,Borussia Mönchengladbach,Jan Olschowsky,Bramkarz,18 lis 2001 (21),"1,84m",prawonożny,13 lip 2020,30 cze 2023,500000.0,bundesliga,21
146,Borussia Mönchengladbach,Tobias Sippel,Bramkarz,22 mar 1988 (34),"1,83m",prawonożny,1 lip 2015,30 cze 2023,400000.0,bundesliga,34
147,Borussia Mönchengladbach,Nico Elvedi,Środkowy obrońca,30 wrz 1996 (26),"1,89m",prawonożny,1 lip 2015,30 cze 2024,20000000.0,bundesliga,26
148,Borussia Mönchengladbach,Ko Itakura,Środkowy obrońca,27 sty 1997 (25),"1,88m",prawonożny,2 lip 2022,30 cze 2026,12000000.0,bundesliga,25
149,Borussia Mönchengladbach,Marvin Friedrich,Środkowy obrońca,13 gru 1995 (27),"1,93m",prawonożny,11 sty 2022,30 cze 2026,8000000.0,bundesliga,27
150,Borussia Mönchengladbach,Tony Jantschke,Środkowy obrońca,7 kwi 1990 (32),"1,77m",prawonożny,1 lip 2009,30 cze 2023,800000.0,bundesliga,32
151,Borussia Mönchengladbach,Mamadou Doucouré,Środkowy obrońca,21 maj 1998 (24),"1,83m",lewonożny,1 lip 2016,30 cze 2024,100000.0,bundesliga,24
152,Borussia Mönchengladbach,Ramy Bensebaini,Lewy obrońca,16 kwi 1995 (27),"1,87m",lewonożny,14 sie 2019,30 cze 2023,20000000.0,bundesliga,27
153,Borussia Mönchengladbach,Luca Netz,Lewy obrońca,15 maj 2003 (19),"1,84m",lewonożny,6 sie 2021,30 cze 2026,6500000.0,bundesliga,19
154,Borussia Mönchengladbach,Joe Scally,Prawy obrońca,31 gru 2002 (20),"1,84m",prawonożny,1 sty 2021,30 cze 2026,12000000.0,bundesliga,20
155,Borussia Mönchengladbach,Stefan Lainer,Prawy obrońca,27 sie 1992 (30),"1,75m",prawonożny,1 lip 2019,30 cze 2024,3500000.0,bundesliga,30
156,Borussia Mönchengladbach,Simon Walde,Prawy obrońca,4 sty 2005 (18),"1,86m",prawonożny,4 sty 2023,30 cze 2026,-,bundesliga,18
157,Borussia Mönchengladbach,Julian Weigl,Defensywny pomocnik,8 wrz 1995 (27),"1,86m",prawonożny,1 wrz 2022,30 cze 2023,15000000.0,bundesliga,27
158,Borussia Mönchengladbach,Christoph Kramer,Defensywny pomocnik,19 lut 1991 (31),"1,91m",prawonożny,1 lip 2016,30 cze 2025,2500000.0,bundesliga,31
159,Borussia Mönchengladbach,Manu Koné,Środkowy pomocnik,17 maj 2001 (21),"1,85m",prawonożny,21 sty 2021,30 cze 2025,25000000.0,bundesliga,21
160,Borussia Mönchengladbach,Florian Neuhaus,Środkowy pomocnik,16 mar 1997 (25),"1,85m",prawonożny,1 lip 2017,30 cze 2024,20000000.0,bundesliga,25
161,Borussia Mönchengladbach,Oscar Fraulo,Środkowy pomocnik,6 gru 2003 (19),"1,80m",prawonożny,1 lip 2022,30 cze 2026,2000000.0,bundesliga,19
